"corpus","word_length","n_words","ngram","bigram","method","pos1","pos2","pos3","pos4","pos5","pos6","pos7","pos8","pos9"
"subtlex_uk",3,5268,"bigram","CD","type",8,10,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CE","type",18,9,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CF","type",7,0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CG","type",4,6,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CH","type",15,19,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CI","type",16,9,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CJ","type",1,3,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CK","type",1,8,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CL","type",10,4,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CM","type",9,10,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CN","type",5,6,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CO","type",25,9,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CP","type",14,10,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CQ","type",2,0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CR","type",16,9,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CS","type",15,16,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CT","type",9,13,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CU","type",14,8,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CV","type",6,2,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CW","type",6,1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CX","type",0,1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CY","type",6,3,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CZ","type",0,0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DA","type",24,15,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DB","type",12,4,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DC","type",10,13,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DD","type",12,6,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DE","type",24,6,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DF","type",8,10,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DG","type",4,3,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DH","type",8,2,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DI","type",22,9,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DJ","type",1,1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DK","type",1,1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DL","type",8,7,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DM","type",9,4,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DN","type",8,3,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DO","type",23,11,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DP","type",9,14,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DQ","type",0,1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DR","type",15,7,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DS","type",15,18,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DT","type",4,6,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DU","type",22,7,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DV","type",5,2,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DW","type",6,1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DX","type",2,1,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DY","type",3,7,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DZ","type",0,3,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","EA","type",11,20,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","EB","type",11,22,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","EC","type",15,15,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","ED","type",15,23,NA,NA,NA,NA,NA,NA,NA
