"corpus","word_length","n_words","ngram","trigram","method","pos1","pos2","pos3","pos4","pos5","pos6","pos7","pos8"
"subtlex_uk",9,17911,"trigram","RUP","token",17.0000000000001,206.000000000001,62,854.999999999994,202.999999999999,1268.00000000001,4.99999999999995,NA
"subtlex_uk",9,17911,"trigram","RUQ","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RUR","token",26.0000000000001,4.00000000000001,0,0,11.0000000000001,0,0,NA
"subtlex_uk",9,17911,"trigram","RUS","token",281.000000000001,1126,2110.00000000002,995.000000000002,73.0000000000005,262.000000000001,155.000000000001,NA
"subtlex_uk",9,17911,"trigram","RUT","token",4.00000000000001,489.999999999998,200.000000000002,11.9999999999999,9.9999999999999,0,0,NA
"subtlex_uk",9,17911,"trigram","RUU","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RUV","token",0,0,8.0000000000001,57.0000000000005,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RUW","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RUX","token",0,4.99999999999995,0,0,1.99999999999998,0,0,NA
"subtlex_uk",9,17911,"trigram","RUY","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RUZ","token",0,0,0,0,4.00000000000001,0,0,NA
"subtlex_uk",9,17911,"trigram","RVA","token",0,0,219,12.0000000000001,474,260.999999999997,0,NA
"subtlex_uk",9,17911,"trigram","RVB","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RVC","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RVD","token",0,0,0,0,0,0,0,NA
