"corpus","word_length","n_words","ngram","letter","method","freq"
"subtlex_uk",7,26018,"letter","Y","type",3424
"subtlex_uk",7,26018,"letter","Z","type",883
"subtlex_uk",8,22770,"letter","A","type",15729
"subtlex_uk",8,22770,"letter","B","type",4126
"subtlex_uk",8,22770,"letter","C","type",6873
"subtlex_uk",8,22770,"letter","D","type",7136
"subtlex_uk",8,22770,"letter","E","type",20188
"subtlex_uk",8,22770,"letter","F","type",2795
"subtlex_uk",8,22770,"letter","G","type",5741
"subtlex_uk",8,22770,"letter","H","type",5523
"subtlex_uk",8,22770,"letter","I","type",13923
"subtlex_uk",8,22770,"letter","J","type",408
"subtlex_uk",8,22770,"letter","K","type",2696
"subtlex_uk",8,22770,"letter","L","type",10695
"subtlex_uk",8,22770,"letter","M","type",5273
"subtlex_uk",8,22770,"letter","N","type",12661
"subtlex_uk",8,22770,"letter","O","type",11158
"subtlex_uk",8,22770,"letter","P","type",4377
"subtlex_uk",8,22770,"letter","Q","type",341
"subtlex_uk",8,22770,"letter","R","type",13543
"subtlex_uk",8,22770,"letter","S","type",14067
"subtlex_uk",8,22770,"letter","T","type",10810
"subtlex_uk",8,22770,"letter","U","type",5778
"subtlex_uk",8,22770,"letter","V","type",1805
"subtlex_uk",8,22770,"letter","W","type",2373
"subtlex_uk",8,22770,"letter","X","type",364
"subtlex_uk",8,22770,"letter","Y","type",2917
"subtlex_uk",8,22770,"letter","Z","type",585
"subtlex_uk",9,17911,"letter","A","type",13468
"subtlex_uk",9,17911,"letter","B","type",3375
"subtlex_uk",9,17911,"letter","C","type",6422
"subtlex_uk",9,17911,"letter","D","type",6230
"subtlex_uk",9,17911,"letter","E","type",18251
"subtlex_uk",9,17911,"letter","F","type",2300
"subtlex_uk",9,17911,"letter","G","type",4889
"subtlex_uk",9,17911,"letter","H","type",4785
"subtlex_uk",9,17911,"letter","I","type",12780
"subtlex_uk",9,17911,"letter","J","type",290
"subtlex_uk",9,17911,"letter","K","type",2018
"subtlex_uk",9,17911,"letter","L","type",8942
"subtlex_uk",9,17911,"letter","M","type",4602
"subtlex_uk",9,17911,"letter","N","type",11730
"subtlex_uk",9,17911,"letter","O","type",10363
"subtlex_uk",9,17911,"letter","P","type",3917
"subtlex_uk",9,17911,"letter","Q","type",291
"subtlex_uk",9,17911,"letter","R","type",12078
"subtlex_uk",9,17911,"letter","S","type",12449
"subtlex_uk",9,17911,"letter","T","type",10143
"subtlex_uk",9,17911,"letter","U","type",5004
"subtlex_uk",9,17911,"letter","V","type",1618
"subtlex_uk",9,17911,"letter","W","type",1941
"subtlex_uk",9,17911,"letter","X","type",348
"subtlex_uk",9,17911,"letter","Y","type",2262
"subtlex_uk",9,17911,"letter","Z","type",476
"subtlex_uk",10,13135,"letter","A","type",10572
"subtlex_uk",10,13135,"letter","B","type",2834
"subtlex_uk",10,13135,"letter","C","type",5354
"subtlex_uk",10,13135,"letter","D","type",4638
"subtlex_uk",10,13135,"letter","E","type",14735
"subtlex_uk",10,13135,"letter","F","type",1717
"subtlex_uk",10,13135,"letter","G","type",3893
"subtlex_uk",10,13135,"letter","H","type",3818
"subtlex_uk",10,13135,"letter","I","type",10968
"subtlex_uk",10,13135,"letter","J","type",186
"subtlex_uk",10,13135,"letter","K","type",1374
"subtlex_uk",10,13135,"letter","L","type",7247
"subtlex_uk",10,13135,"letter","M","type",3768
"subtlex_uk",10,13135,"letter","N","type",9958
"subtlex_uk",10,13135,"letter","O","type",8372
"subtlex_uk",10,13135,"letter","P","type",3309
"subtlex_uk",10,13135,"letter","Q","type",215
"subtlex_uk",10,13135,"letter","R","type",9854
"subtlex_uk",10,13135,"letter","S","type",10173
"subtlex_uk",10,13135,"letter","T","type",8938
"subtlex_uk",10,13135,"letter","U","type",4134
"subtlex_uk",10,13135,"letter","V","type",1290
"subtlex_uk",10,13135,"letter","W","type",1344
"subtlex_uk",10,13135,"letter","X","type",269
"subtlex_uk",10,13135,"letter","Y","type",1827
"subtlex_uk",10,13135,"letter","Z","type",330
