"corpus","word_length","n_words","ngram","bigram","method","pos1","pos2","pos3","pos4","pos5","pos6","pos7","pos8","pos9"
"subtlex_uk",3,5268,"bigram","BV","token",4.99999999999996,12.0000000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","BW","token",19.0000000000001,92.9999999999998,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","BX","token",0,0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","BY","token",26119.0000000002,49.0000000000003,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","BZ","token",125,17.0000000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CA","token",808317.000000004,243,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CB","token",792.000000000001,970.999999999993,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CC","token",190.000000000001,637,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CD","token",661.000000000004,392.000000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CE","token",901.999999999999,20575.9999999998,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CF","token",39.0000000000003,0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CG","token",209.999999999998,401.999999999996,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CH","token",4113.99999999999,1622,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CI","token",1520.99999999999,1054,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CJ","token",33.0000000000004,27.9999999999998,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CK","token",4.00000000000001,300,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CL","token",120.000000000001,141,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CM","token",111,100,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CN","token",223.000000000002,79.9999999999994,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CO","token",73159.0000000005,1148,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CP","token",918,63.9999999999999,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CQ","token",71.0000000000005,0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CR","token",7666.00000000007,52.9999999999999,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CS","token",457.999999999998,879.999999999999,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CT","token",155,20080.9999999999,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CU","token",77554.9999999997,132.999999999999,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CV","token",210.000000000002,3.99999999999996,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CW","token",160.000000000001,2.99999999999998,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CX","token",0,2.99999999999998,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CY","token",86.0000000000001,1277.99999999999,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","CZ","token",0,0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DA","token",264247.000000001,779.999999999999,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DB","token",170.999999999999,17,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DC","token",487.999999999998,162.000000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DD","token",181.000000000001,30455.0000000002,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DE","token",15979,545.999999999997,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DF","token",101,336.999999999998,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DG","token",29,14,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DH","token",54.9999999999998,9.00000000000002,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DI","token",486629.000000002,176,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DJ","token",345.999999999997,1.99999999999998,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DK","token",1.99999999999998,2.99999999999998,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DL","token",217.999999999999,279.000000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DM","token",84.9999999999997,32.0000000000002,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DN","token",3411.99999999996,22.9999999999999,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DO","token",51515.0000000003,728.000000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DP","token",138,1652.99999999999,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DQ","token",0,4.99999999999995,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DR","token",18778,161,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DS","token",166,1520,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DT","token",39.0000000000001,80,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DU","token",23502.9999999999,217.000000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DV","token",1773.00000000001,11,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DW","token",222,4.00000000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DX","token",8.99999999999991,1.99999999999998,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DY","token",640.000000000006,142.000000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","DZ","token",0,12.9999999999999,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","EA","token",38008.0000000001,56647.0000000003,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","EB","token",389.000000000001,4254.99999999996,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","EC","token",2417.99999999999,2150.00000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","ED","token",827.999999999999,103632,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","EE","token",2615,484833.000000004,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","EF","token",148.000000000001,617.999999999998,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","EG","token",13542.0000000001,23284.0000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","EH","token",77.0000000000001,2982.99999999999,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","EI","token",449,860.000000000004,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","EJ","token",0,168.000000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","EK","token",96.0000000000005,658.000000000002,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","EL","token",2661,6787.99999999996,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","EM","token",926.999999999998,6416.99999999997,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","EN","token",119042,135607.000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","EO","token",79.0000000000006,3724.00000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","EP","token",124,15097.0000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","EQ","token",0,6.00000000000005,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","ER","token",24284,372804.000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","ES","token",930.000000000001,350701,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","ET","token",2036.99999999999,1111341,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","EU","token",61.9999999999998,206.000000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","EV","token",4582.99999999997,4850,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","EW","token",663.000000000005,289018.999999998,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","EX","token",143.000000000001,14976.0000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","EY","token",27162.9999999999,78657.9999999997,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","EZ","token",24.0000000000001,866.000000000006,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","FA","token",107772.000000001,365.000000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","FB","token",855.999999999997,9.9999999999999,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","FC","token",70.9999999999993,342.999999999999,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","FD","token",102,8.99999999999999,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","FE","token",104026.999999999,35.0000000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","FF","token",102,244713.000000002,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","FG","token",63.0000000000004,61.0000000000003,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","FH","token",40.9999999999999,0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","FI","token",28314.9999999999,520,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","FJ","token",0,4.00000000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","FK","token",0,255.999999999997,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","FL","token",17941.9999999999,165.000000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","FM","token",2.99999999999998,35.0000000000002,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","FN","token",0,4.99999999999996,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","FO","token",1716533.99999999,457.000000000004,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","FP","token",12.9999999999999,40,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","FQ","token",0,0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","FR","token",3581.00000000002,44,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","FS","token",537.999999999998,497.000000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","FT","token",21.9999999999998,398.000000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","FU","token",43444.0000000005,134.000000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","FV","token",0,0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","FW","token",1.99999999999998,0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","FX","token",4.99999999999995,4.99999999999995,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","FY","token",48.0000000000001,8.00000000000003,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","FZ","token",1.99999999999998,0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","GA","token",29496.0000000001,523.999999999998,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","GB","token",160,320.999999999998,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","GC","token",255.999999999998,106,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","GD","token",1567.99999999999,6.00000000000005,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","GE","token",623166.000000002,30667.0000000003,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","GF","token",6.99999999999999,25.0000000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","GG","token",24,12761.0000000001,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","GH","token",85.0000000000002,5225.00000000004,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","GI","token",4869.00000000002,406.999999999996,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","GJ","token",0,0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","GK","token",4.99999999999995,0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","GL","token",271.000000000001,0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","GM","token",661.999999999998,319.999999999999,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","GN","token",107,12.9999999999999,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","GO","token",640672.000000007,64747.0000000003,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","GP","token",2125.00000000002,12,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","GQ","token",0,0,NA,NA,NA,NA,NA,NA,NA
"subtlex_uk",3,5268,"bigram","GR","token",638.000000000001,13,NA,NA,NA,NA,NA,NA,NA
