"corpus","word_length","n_words","ngram","letter","method","freq"
"subtlex_uk",7,26018,"letter","L","token",3822155
"subtlex_uk",7,26018,"letter","M","token",1914116
"subtlex_uk",7,26018,"letter","N","token",6080082
"subtlex_uk",7,26018,"letter","O","token",4760708
"subtlex_uk",7,26018,"letter","P","token",1978059
"subtlex_uk",7,26018,"letter","Q","token",119529
"subtlex_uk",7,26018,"letter","R","token",5875343
"subtlex_uk",7,26018,"letter","S","token",5255288
"subtlex_uk",7,26018,"letter","T","token",5578955
"subtlex_uk",7,26018,"letter","U","token",2797808
"subtlex_uk",7,26018,"letter","V","token",758684.000000001
"subtlex_uk",7,26018,"letter","W","token",1155976
"subtlex_uk",7,26018,"letter","X","token",195630
"subtlex_uk",7,26018,"letter","Y","token",1309764
"subtlex_uk",7,26018,"letter","Z","token",107214
"subtlex_uk",8,22770,"letter","A","token",3843922.00000001
"subtlex_uk",8,22770,"letter","B","token",1049933
"subtlex_uk",8,22770,"letter","C","token",2262037
"subtlex_uk",8,22770,"letter","D","token",2120224
"subtlex_uk",8,22770,"letter","E","token",6414970
"subtlex_uk",8,22770,"letter","F","token",631023
"subtlex_uk",8,22770,"letter","G","token",1869394
"subtlex_uk",8,22770,"letter","H","token",1529354
"subtlex_uk",8,22770,"letter","I","token",4640622
"subtlex_uk",8,22770,"letter","J","token",76809
"subtlex_uk",8,22770,"letter","K","token",316330
"subtlex_uk",8,22770,"letter","L","token",2700096
"subtlex_uk",8,22770,"letter","M","token",1413177
"subtlex_uk",8,22770,"letter","N","token",4255931
"subtlex_uk",8,22770,"letter","O","token",3368846
"subtlex_uk",8,22770,"letter","P","token",1721734
"subtlex_uk",8,22770,"letter","Q","token",133720.000000001
"subtlex_uk",8,22770,"letter","R","token",4161645
"subtlex_uk",8,22770,"letter","S","token",3905093
"subtlex_uk",8,22770,"letter","T","token",3756907
"subtlex_uk",8,22770,"letter","U","token",1635098
"subtlex_uk",8,22770,"letter","V","token",627921
"subtlex_uk",8,22770,"letter","W","token",415244.000000001
