"corpus","word_length","n_words","ngram","trigram","method","freq"
"subtlex_uk",3,5268,"trigram","AAA","token",358
"subtlex_uk",3,5268,"trigram","AAB","token",8.99999999999999
"subtlex_uk",3,5268,"trigram","AAC","token",0
"subtlex_uk",3,5268,"trigram","AAD","token",4.00000000000001
"subtlex_uk",3,5268,"trigram","AAE","token",0
"subtlex_uk",3,5268,"trigram","AAF","token",0
"subtlex_uk",3,5268,"trigram","AAG","token",0
"subtlex_uk",3,5268,"trigram","AAH","token",3654.99999999997
"subtlex_uk",3,5268,"trigram","AAI","token",0
"subtlex_uk",3,5268,"trigram","AAJ","token",0
"subtlex_uk",3,5268,"trigram","AAK","token",0
"subtlex_uk",3,5268,"trigram","AAL","token",11.0000000000001
"subtlex_uk",3,5268,"trigram","AAM","token",4.99999999999995
"subtlex_uk",3,5268,"trigram","AAN","token",10.0000000000001
"subtlex_uk",3,5268,"trigram","AAO","token",0
"subtlex_uk",3,5268,"trigram","AAP","token",4.99999999999995
"subtlex_uk",3,5268,"trigram","AAQ","token",0
"subtlex_uk",3,5268,"trigram","AAR","token",38.0000000000001
"subtlex_uk",3,5268,"trigram","AAS","token",13.9999999999999
"subtlex_uk",3,5268,"trigram","AAT","token",12.0000000000001
"subtlex_uk",3,5268,"trigram","AAU","token",300.999999999999
"subtlex_uk",3,5268,"trigram","AAV","token",0
"subtlex_uk",3,5268,"trigram","AAW","token",38.9999999999998
"subtlex_uk",3,5268,"trigram","AAX","token",0
"subtlex_uk",3,5268,"trigram","AAY","token",13.9999999999999
"subtlex_uk",3,5268,"trigram","AAZ","token",0
"subtlex_uk",3,5268,"trigram","ABA","token",93.0000000000002
"subtlex_uk",3,5268,"trigram","ABB","token",10.0000000000001
"subtlex_uk",3,5268,"trigram","ABC","token",299.999999999997
"subtlex_uk",3,5268,"trigram","ABD","token",28.0000000000002
"subtlex_uk",3,5268,"trigram","ABE","token",95.0000000000003
"subtlex_uk",3,5268,"trigram","ABF","token",0
"subtlex_uk",3,5268,"trigram","ABG","token",18
"subtlex_uk",3,5268,"trigram","ABH","token",76.9999999999999
"subtlex_uk",3,5268,"trigram","ABI","token",1719
"subtlex_uk",3,5268,"trigram","ABJ","token",0
"subtlex_uk",3,5268,"trigram","ABK","token",2.99999999999998
"subtlex_uk",3,5268,"trigram","ABL","token",4.00000000000001
"subtlex_uk",3,5268,"trigram","ABM","token",10.0000000000001
"subtlex_uk",3,5268,"trigram","ABN","token",38.0000000000001
"subtlex_uk",3,5268,"trigram","ABO","token",12.0000000000001
"subtlex_uk",3,5268,"trigram","ABP","token",2.99999999999998
"subtlex_uk",3,5268,"trigram","ABQ","token",0
"subtlex_uk",3,5268,"trigram","ABR","token",0
"subtlex_uk",3,5268,"trigram","ABS","token",562.000000000004
"subtlex_uk",3,5268,"trigram","ABT","token",10.0000000000001
"subtlex_uk",3,5268,"trigram","ABU","token",1101.00000000001
"subtlex_uk",3,5268,"trigram","ABV","token",8.0000000000001
"subtlex_uk",3,5268,"trigram","ABW","token",0
"subtlex_uk",3,5268,"trigram","ABX","token",0
"subtlex_uk",3,5268,"trigram","ABY","token",24.0000000000001
"subtlex_uk",3,5268,"trigram","ABZ","token",0
"subtlex_uk",3,5268,"trigram","ACA","token",15.0000000000002
"subtlex_uk",3,5268,"trigram","ACB","token",11.0000000000001
"subtlex_uk",3,5268,"trigram","ACC","token",13
"subtlex_uk",3,5268,"trigram","ACD","token",0
"subtlex_uk",3,5268,"trigram","ACE","token",1240
"subtlex_uk",3,5268,"trigram","ACF","token",0
"subtlex_uk",3,5268,"trigram","ACG","token",0
"subtlex_uk",3,5268,"trigram","ACH","token",304.000000000003
"subtlex_uk",3,5268,"trigram","ACI","token",0
"subtlex_uk",3,5268,"trigram","ACJ","token",0
"subtlex_uk",3,5268,"trigram","ACK","token",80
"subtlex_uk",3,5268,"trigram","ACL","token",8.99999999999999
"subtlex_uk",3,5268,"trigram","ACM","token",1.99999999999998
"subtlex_uk",3,5268,"trigram","ACN","token",13
"subtlex_uk",3,5268,"trigram","ACO","token",2.99999999999998
"subtlex_uk",3,5268,"trigram","ACP","token",2.99999999999998
"subtlex_uk",3,5268,"trigram","ACQ","token",0
"subtlex_uk",3,5268,"trigram","ACR","token",4.99999999999995
"subtlex_uk",3,5268,"trigram","ACS","token",36.9999999999999
"subtlex_uk",3,5268,"trigram","ACT","token",19641.9999999999
"subtlex_uk",3,5268,"trigram","ACU","token",11.0000000000001
"subtlex_uk",3,5268,"trigram","ACV","token",0
"subtlex_uk",3,5268,"trigram","ACW","token",0
"subtlex_uk",3,5268,"trigram","ACX","token",0
"subtlex_uk",3,5268,"trigram","ACY","token",2.99999999999998
"subtlex_uk",3,5268,"trigram","ACZ","token",0
"subtlex_uk",3,5268,"trigram","ADA","token",257.999999999999
"subtlex_uk",3,5268,"trigram","ADB","token",6.00000000000005
"subtlex_uk",3,5268,"trigram","ADC","token",8.0000000000001
"subtlex_uk",3,5268,"trigram","ADD","token",20234.0000000002
"subtlex_uk",3,5268,"trigram","ADE","token",308.999999999998
"subtlex_uk",3,5268,"trigram","ADF","token",2.99999999999998
"subtlex_uk",3,5268,"trigram","ADG","token",0
"subtlex_uk",3,5268,"trigram","ADH","token",0
"subtlex_uk",3,5268,"trigram","ADI","token",57.9999999999994
"subtlex_uk",3,5268,"trigram","ADJ","token",1.99999999999998
"subtlex_uk",3,5268,"trigram","ADK","token",0
"subtlex_uk",3,5268,"trigram","ADL","token",1.99999999999998
"subtlex_uk",3,5268,"trigram","ADM","token",0
"subtlex_uk",3,5268,"trigram","ADN","token",13.9999999999999
"subtlex_uk",3,5268,"trigram","ADO","token",534.000000000001
"subtlex_uk",3,5268,"trigram","ADP","token",0
"subtlex_uk",3,5268,"trigram","ADQ","token",0
"subtlex_uk",3,5268,"trigram","ADR","token",13
"subtlex_uk",3,5268,"trigram","ADS","token",644.999999999993
"subtlex_uk",3,5268,"trigram","ADT","token",2.99999999999998
"subtlex_uk",3,5268,"trigram","ADU","token",6.00000000000005
"subtlex_uk",3,5268,"trigram","ADV","token",0
"subtlex_uk",3,5268,"trigram","ADW","token",0
"subtlex_uk",3,5268,"trigram","ADX","token",0
"subtlex_uk",3,5268,"trigram","ADY","token",26.0000000000001
"subtlex_uk",3,5268,"trigram","ADZ","token",6.99999999999993
"subtlex_uk",3,5268,"trigram","AEA","token",6.99999999999993
"subtlex_uk",3,5268,"trigram","AEB","token",2.99999999999998
"subtlex_uk",3,5268,"trigram","AEC","token",0
"subtlex_uk",3,5268,"trigram","AED","token",53.0000000000002
"subtlex_uk",3,5268,"trigram","AEE","token",1.99999999999998
"subtlex_uk",3,5268,"trigram","AEF","token",1.99999999999998
"subtlex_uk",3,5268,"trigram","AEG","token",1.99999999999998
"subtlex_uk",3,5268,"trigram","AEH","token",0
"subtlex_uk",3,5268,"trigram","AEI","token",2.99999999999998
"subtlex_uk",3,5268,"trigram","AEJ","token",2.99999999999998
"subtlex_uk",3,5268,"trigram","AEK","token",4.00000000000001
"subtlex_uk",3,5268,"trigram","AEL","token",0
"subtlex_uk",3,5268,"trigram","AEM","token",6.00000000000005
"subtlex_uk",3,5268,"trigram","AEN","token",13
"subtlex_uk",3,5268,"trigram","AEO","token",0
"subtlex_uk",3,5268,"trigram","AEP","token",0
"subtlex_uk",3,5268,"trigram","AEQ","token",0
"subtlex_uk",3,5268,"trigram","AER","token",77.9999999999996
"subtlex_uk",3,5268,"trigram","AES","token",4.99999999999995
"subtlex_uk",3,5268,"trigram","AET","token",8.0000000000001
"subtlex_uk",3,5268,"trigram","AEU","token",2.99999999999998
"subtlex_uk",3,5268,"trigram","AEV","token",0
"subtlex_uk",3,5268,"trigram","AEW","token",0
"subtlex_uk",3,5268,"trigram","AEX","token",0
"subtlex_uk",3,5268,"trigram","AEY","token",0
"subtlex_uk",3,5268,"trigram","AEZ","token",0
"subtlex_uk",3,5268,"trigram","AFA","token",6.99999999999993
"subtlex_uk",3,5268,"trigram","AFB","token",0
"subtlex_uk",3,5268,"trigram","AFC","token",77.9999999999996
"subtlex_uk",3,5268,"trigram","AFD","token",0
"subtlex_uk",3,5268,"trigram","AFE","token",1.99999999999998
"subtlex_uk",3,5268,"trigram","AFF","token",228.999999999998
"subtlex_uk",3,5268,"trigram","AFG","token",0
"subtlex_uk",3,5268,"trigram","AFH","token",0
"subtlex_uk",3,5268,"trigram","AFI","token",1.99999999999998
"subtlex_uk",3,5268,"trigram","AFJ","token",0
"subtlex_uk",3,5268,"trigram","AFK","token",0
"subtlex_uk",3,5268,"trigram","AFL","token",10.0000000000001
"subtlex_uk",3,5268,"trigram","AFM","token",0
"subtlex_uk",3,5268,"trigram","AFN","token",0
"subtlex_uk",3,5268,"trigram","AFO","token",0
"subtlex_uk",3,5268,"trigram","AFP","token",6.99999999999993
"subtlex_uk",3,5268,"trigram","AFQ","token",0
"subtlex_uk",3,5268,"trigram","AFR","token",1.99999999999998
"subtlex_uk",3,5268,"trigram","AFS","token",17.0000000000001
"subtlex_uk",3,5268,"trigram","AFT","token",89.9999999999992
"subtlex_uk",3,5268,"trigram","AFU","token",0
"subtlex_uk",3,5268,"trigram","AFV","token",0
"subtlex_uk",3,5268,"trigram","AFW","token",0
"subtlex_uk",3,5268,"trigram","AFX","token",0
"subtlex_uk",3,5268,"trigram","AFY","token",0
"subtlex_uk",3,5268,"trigram","AFZ","token",0
"subtlex_uk",3,5268,"trigram","AGA","token",302.999999999997
"subtlex_uk",3,5268,"trigram","AGB","token",4.00000000000001
"subtlex_uk",3,5268,"trigram","AGC","token",4.00000000000001
"subtlex_uk",3,5268,"trigram","AGD","token",0
"subtlex_uk",3,5268,"trigram","AGE","token",30622.0000000003
"subtlex_uk",3,5268,"trigram","AGF","token",0
"subtlex_uk",3,5268,"trigram","AGG","token",1.99999999999998
"subtlex_uk",3,5268,"trigram","AGH","token",2631.00000000001
"subtlex_uk",3,5268,"trigram","AGI","token",4.99999999999995
"subtlex_uk",3,5268,"trigram","AGJ","token",0
"subtlex_uk",3,5268,"trigram","AGK","token",0
"subtlex_uk",3,5268,"trigram","AGL","token",0
"subtlex_uk",3,5268,"trigram","AGM","token",80
"subtlex_uk",3,5268,"trigram","AGN","token",1.99999999999998
"subtlex_uk",3,5268,"trigram","AGO","token",63785.0000000003
"subtlex_uk",3,5268,"trigram","AGP","token",6.00000000000005
"subtlex_uk",3,5268,"trigram","AGQ","token",0
"subtlex_uk",3,5268,"trigram","AGR","token",13
"subtlex_uk",3,5268,"trigram","AGS","token",11.0000000000001
"subtlex_uk",3,5268,"trigram","AGT","token",0
"subtlex_uk",3,5268,"trigram","AGU","token",0
"subtlex_uk",3,5268,"trigram","AGV","token",0
"subtlex_uk",3,5268,"trigram","AGW","token",0
"subtlex_uk",3,5268,"trigram","AGX","token",0
"subtlex_uk",3,5268,"trigram","AGY","token",0
"subtlex_uk",3,5268,"trigram","AGZ","token",0
"subtlex_uk",3,5268,"trigram","AHA","token",1432.00000000002
"subtlex_uk",3,5268,"trigram","AHB","token",0
"subtlex_uk",3,5268,"trigram","AHC","token",0
"subtlex_uk",3,5268,"trigram","AHD","token",0
"subtlex_uk",3,5268,"trigram","AHE","token",10.0000000000001
"subtlex_uk",3,5268,"trigram","AHF","token",0
"subtlex_uk",3,5268,"trigram","AHG","token",0
"subtlex_uk",3,5268,"trigram","AHH","token",3070.00000000001
"subtlex_uk",3,5268,"trigram","AHI","token",8.0000000000001
"subtlex_uk",3,5268,"trigram","AHJ","token",0
"subtlex_uk",3,5268,"trigram","AHK","token",0
"subtlex_uk",3,5268,"trigram","AHL","token",4.00000000000001
"subtlex_uk",3,5268,"trigram","AHM","token",4.00000000000001
"subtlex_uk",3,5268,"trigram","AHN","token",4.00000000000001
"subtlex_uk",3,5268,"trigram","AHO","token",4.99999999999995
"subtlex_uk",3,5268,"trigram","AHP","token",0
"subtlex_uk",3,5268,"trigram","AHQ","token",0
"subtlex_uk",3,5268,"trigram","AHR","token",0
"subtlex_uk",3,5268,"trigram","AHS","token",17.0000000000001
"subtlex_uk",3,5268,"trigram","AHT","token",4.00000000000001
"subtlex_uk",3,5268,"trigram","AHU","token",0
"subtlex_uk",3,5268,"trigram","AHV","token",0
"subtlex_uk",3,5268,"trigram","AHW","token",0
"subtlex_uk",3,5268,"trigram","AHX","token",0
"subtlex_uk",3,5268,"trigram","AHY","token",0
"subtlex_uk",3,5268,"trigram","AHZ","token",0
"subtlex_uk",3,5268,"trigram","AIA","token",18.9999999999999
"subtlex_uk",3,5268,"trigram","AIB","token",8.99999999999999
"subtlex_uk",3,5268,"trigram","AIC","token",6.00000000000005
"subtlex_uk",3,5268,"trigram","AID","token",6776.00000000006
"subtlex_uk",3,5268,"trigram","AIE","token",15.9999999999998
"subtlex_uk",3,5268,"trigram","AIF","token",4.00000000000001
"subtlex_uk",3,5268,"trigram","AIG","token",139.000000000001
