"corpus","word_length","n_words","ngram","bigram","method","freq"
"subtlex_uk",3,5268,"bigram","DN","token",3434.99999999996
"subtlex_uk",3,5268,"bigram","DO","token",52243.0000000003
"subtlex_uk",3,5268,"bigram","DP","token",1790.99999999999
"subtlex_uk",3,5268,"bigram","DQ","token",4.99999999999995
"subtlex_uk",3,5268,"bigram","DR","token",18939
"subtlex_uk",3,5268,"bigram","DS","token",1686
"subtlex_uk",3,5268,"bigram","DT","token",119
"subtlex_uk",3,5268,"bigram","DU","token",23719.9999999999
"subtlex_uk",3,5268,"bigram","DV","token",1784.00000000001
"subtlex_uk",3,5268,"bigram","DW","token",226
"subtlex_uk",3,5268,"bigram","DX","token",10.9999999999999
"subtlex_uk",3,5268,"bigram","DY","token",782.000000000007
"subtlex_uk",3,5268,"bigram","DZ","token",12.9999999999999
"subtlex_uk",3,5268,"bigram","EA","token",94655.0000000004
"subtlex_uk",3,5268,"bigram","EB","token",4643.99999999996
"subtlex_uk",3,5268,"bigram","EC","token",4568
"subtlex_uk",3,5268,"bigram","ED","token",104460
"subtlex_uk",3,5268,"bigram","EE","token",487448.000000004
"subtlex_uk",3,5268,"bigram","EF","token",765.999999999998
"subtlex_uk",3,5268,"bigram","EG","token",36826.0000000002
"subtlex_uk",3,5268,"bigram","EH","token",3059.99999999999
"subtlex_uk",3,5268,"bigram","EI","token",1309
"subtlex_uk",3,5268,"bigram","EJ","token",168.000000000001
"subtlex_uk",3,5268,"bigram","EK","token",754.000000000002
"subtlex_uk",3,5268,"bigram","EL","token",9448.99999999996
"subtlex_uk",3,5268,"bigram","EM","token",7343.99999999996
"subtlex_uk",3,5268,"bigram","EN","token",254649.000000001
"subtlex_uk",3,5268,"bigram","EO","token",3803.00000000001
"subtlex_uk",3,5268,"bigram","EP","token",15221.0000000001
"subtlex_uk",3,5268,"bigram","EQ","token",6.00000000000005
"subtlex_uk",3,5268,"bigram","ER","token",397088.000000001
"subtlex_uk",3,5268,"bigram","ES","token",351631
"subtlex_uk",3,5268,"bigram","ET","token",1113378
"subtlex_uk",3,5268,"bigram","EU","token",268
"subtlex_uk",3,5268,"bigram","EV","token",9432.99999999997
"subtlex_uk",3,5268,"bigram","EW","token",289681.999999998
"subtlex_uk",3,5268,"bigram","EX","token",15119.0000000001
"subtlex_uk",3,5268,"bigram","EY","token",105821
"subtlex_uk",3,5268,"bigram","EZ","token",890.000000000006
"subtlex_uk",3,5268,"bigram","FA","token",108137.000000001
"subtlex_uk",3,5268,"bigram","FB","token",865.999999999997
"subtlex_uk",3,5268,"bigram","FC","token",413.999999999999
"subtlex_uk",3,5268,"bigram","FD","token",111
"subtlex_uk",3,5268,"bigram","FE","token",104061.999999999
"subtlex_uk",3,5268,"bigram","FF","token",244815.000000002
"subtlex_uk",3,5268,"bigram","FG","token",124.000000000001
"subtlex_uk",3,5268,"bigram","FH","token",40.9999999999999
"subtlex_uk",3,5268,"bigram","FI","token",28834.9999999999
"subtlex_uk",3,5268,"bigram","FJ","token",4.00000000000001
"subtlex_uk",3,5268,"bigram","FK","token",255.999999999997
"subtlex_uk",3,5268,"bigram","FL","token",18106.9999999999
"subtlex_uk",3,5268,"bigram","FM","token",38.0000000000001
"subtlex_uk",3,5268,"bigram","FN","token",4.99999999999996
"subtlex_uk",3,5268,"bigram","FO","token",1716990.99999999
"subtlex_uk",3,5268,"bigram","FP","token",52.9999999999998
"subtlex_uk",3,5268,"bigram","FQ","token",0
"subtlex_uk",3,5268,"bigram","FR","token",3625.00000000002
"subtlex_uk",3,5268,"bigram","FS","token",1035
"subtlex_uk",3,5268,"bigram","FT","token",420
"subtlex_uk",3,5268,"bigram","FU","token",43578.0000000005
"subtlex_uk",3,5268,"bigram","FV","token",0
"subtlex_uk",3,5268,"bigram","FW","token",1.99999999999998
"subtlex_uk",3,5268,"bigram","FX","token",9.99999999999989
"subtlex_uk",3,5268,"bigram","FY","token",56.0000000000001
"subtlex_uk",3,5268,"bigram","FZ","token",1.99999999999998
"subtlex_uk",3,5268,"bigram","GA","token",30020.0000000001
"subtlex_uk",3,5268,"bigram","GB","token",480.999999999998
"subtlex_uk",3,5268,"bigram","GC","token",361.999999999998
"subtlex_uk",3,5268,"bigram","GD","token",1573.99999999999
"subtlex_uk",3,5268,"bigram","GE","token",653833.000000002
"subtlex_uk",3,5268,"bigram","GF","token",32.0000000000001
"subtlex_uk",3,5268,"bigram","GG","token",12785.0000000001
"subtlex_uk",3,5268,"bigram","GH","token",5310.00000000004
"subtlex_uk",3,5268,"bigram","GI","token",5276.00000000002
"subtlex_uk",3,5268,"bigram","GJ","token",0
"subtlex_uk",3,5268,"bigram","GK","token",4.99999999999995
"subtlex_uk",3,5268,"bigram","GL","token",271.000000000001
"subtlex_uk",3,5268,"bigram","GM","token",981.999999999997
"subtlex_uk",3,5268,"bigram","GN","token",120
"subtlex_uk",3,5268,"bigram","GO","token",705419.000000007
"subtlex_uk",3,5268,"bigram","GP","token",2137.00000000002
"subtlex_uk",3,5268,"bigram","GQ","token",0
"subtlex_uk",3,5268,"bigram","GR","token",651.000000000001
"subtlex_uk",3,5268,"bigram","GS","token",300
