"corpus","sequence_length","n_sequences","ngram","biphone","method","pos1","pos2","pos3","pos4","pos5","pos6","pos7","pos8","pos9","pos10","pos11"
"CMU",2,1000,"biphone","UH-AE","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","UW-AE","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","AX-AE","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","AXR-AE","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","IX-AE","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","UX-AE","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","B-AE","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","CH-AE","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","D-AE","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","DH-AE","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","F-AE","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","G-AE","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","HH-AE","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","JH-AE","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","K-AE","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","L-AE","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","M-AE","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","N-AE","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","NG-AE","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","P-AE","type",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","R-AE","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","S-AE","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","SH-AE","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","T-AE","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","TH-AE","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","V-AE","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","W-AE","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","Y-AE","type",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","Z-AE","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","ZH-AE","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","Q-AE","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","AA-AH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","AE-AH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","AH-AH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","AO-AH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","AW-AH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","AY-AH","type",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","EH-AH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","ER-AH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","EY-AH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","IH-AH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","IY-AH","type",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","OW-AH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","OY-AH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","UH-AH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","UW-AH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","AX-AH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"biphone","AXR-AH","type",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
