"corpus","sequence_length","n_sequences","ngram","biphone","method","pos1","pos2","pos3","pos4","pos5","pos6","pos7","pos8","pos9","pos10","pos11"
"CMU",3,6841,"biphone","S-TH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","SH-TH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","T-TH","type",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","TH-TH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","V-TH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","W-TH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","Y-TH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","Z-TH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","ZH-TH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","Q-TH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AA-V","type",2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AE-V","type",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AH-V","type",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AO-V","type",0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AW-V","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AY-V","type",7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","EH-V","type",1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","ER-V","type",0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","EY-V","type",6,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","IH-V","type",1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","IY-V","type",4,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","OW-V","type",2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","OY-V","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","UH-V","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","UW-V","type",0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AX-V","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AXR-V","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","IX-V","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","UX-V","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","B-V","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","CH-V","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","D-V","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","DH-V","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","F-V","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","G-V","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","HH-V","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","JH-V","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","K-V","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","L-V","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","M-V","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","N-V","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","NG-V","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","P-V","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","R-V","type",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","S-V","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","SH-V","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","T-V","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","TH-V","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","V-V","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","W-V","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","Y-V","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","Z-V","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","ZH-V","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","Q-V","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AA-W","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AE-W","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AH-W","type",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AO-W","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AW-W","type",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AY-W","type",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","EH-W","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","ER-W","type",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","EY-W","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","IH-W","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","IY-W","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","OW-W","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","OY-W","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","UH-W","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","UW-W","type",1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AX-W","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AXR-W","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","IX-W","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","UX-W","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","B-W","type",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","CH-W","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","D-W","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","DH-W","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","F-W","type",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","G-W","type",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","HH-W","type",8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","JH-W","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","K-W","type",6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","L-W","type",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","M-W","type",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","N-W","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","NG-W","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","P-W","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","R-W","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","S-W","type",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","SH-W","type",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","T-W","type",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","TH-W","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","V-W","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","W-W","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","Y-W","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","Z-W","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","ZH-W","type",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","Q-W","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AA-Y","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AE-Y","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AH-Y","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AO-Y","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AW-Y","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AY-Y","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","EH-Y","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","ER-Y","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","EY-Y","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","IH-Y","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","IY-Y","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","OW-Y","type",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","OY-Y","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","UH-Y","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","UW-Y","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AX-Y","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AXR-Y","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","IX-Y","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","UX-Y","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","B-Y","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","CH-Y","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","D-Y","type",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","DH-Y","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","F-Y","type",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","G-Y","type",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","HH-Y","type",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","JH-Y","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","K-Y","type",8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","L-Y","type",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","M-Y","type",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","N-Y","type",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","NG-Y","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","P-Y","type",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","R-Y","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","S-Y","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","SH-Y","type",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","T-Y","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","TH-Y","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","V-Y","type",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","W-Y","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","Y-Y","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","Z-Y","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","ZH-Y","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","Q-Y","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AA-Z","type",2,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AE-Z","type",0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AH-Z","type",0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AO-Z","type",0,29,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AW-Z","type",0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AY-Z","type",1,46,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","EH-Z","type",4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","ER-Z","type",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","EY-Z","type",0,83,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","IH-Z","type",3,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","IY-Z","type",2,101,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","OW-Z","type",1,55,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","OY-Z","type",0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","UH-Z","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","UW-Z","type",2,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AX-Z","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AXR-Z","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","IX-Z","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","UX-Z","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","B-Z","type",0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","CH-Z","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","D-Z","type",0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","DH-Z","type",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","F-Z","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","G-Z","type",0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","HH-Z","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","JH-Z","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","K-Z","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","L-Z","type",0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","M-Z","type",0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","N-Z","type",0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","NG-Z","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","P-Z","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","R-Z","type",0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","S-Z","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","SH-Z","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","T-Z","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","TH-Z","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","V-Z","type",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","W-Z","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","Y-Z","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","Z-Z","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","ZH-Z","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","Q-Z","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AA-ZH","type",0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AE-ZH","type",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AH-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AO-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AW-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AY-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","EH-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","ER-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","EY-ZH","type",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","IH-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","IY-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","OW-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","OY-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","UH-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","UW-ZH","type",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AX-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AXR-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","IX-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","UX-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","B-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","CH-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","D-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","DH-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","F-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","G-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","HH-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","JH-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","K-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","L-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","M-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","N-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","NG-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","P-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","R-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","S-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","SH-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","T-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","TH-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","V-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","W-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","Y-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","Z-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","ZH-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","Q-ZH","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AA-Q","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AE-Q","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AH-Q","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AO-Q","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AW-Q","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AY-Q","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","EH-Q","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","ER-Q","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","EY-Q","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","IH-Q","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","IY-Q","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","OW-Q","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","OY-Q","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","UH-Q","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","UW-Q","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AX-Q","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","AXR-Q","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","IX-Q","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","UX-Q","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","B-Q","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","CH-Q","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","D-Q","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","DH-Q","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","F-Q","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","G-Q","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","HH-Q","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","JH-Q","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","K-Q","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","L-Q","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"biphone","M-Q","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
