"corpus","sequence_length","n_sequences","ngram","biphone","method","freq"
"CMU",2,1000,"biphone","Y-AH","type",0
"CMU",2,1000,"biphone","Z-AH","type",0
"CMU",2,1000,"biphone","ZH-AH","type",0
"CMU",2,1000,"biphone","Q-AH","type",0
"CMU",2,1000,"biphone","AA-AO","type",0
"CMU",2,1000,"biphone","AE-AO","type",0
"CMU",2,1000,"biphone","AH-AO","type",0
"CMU",2,1000,"biphone","AO-AO","type",0
"CMU",2,1000,"biphone","AW-AO","type",0
"CMU",2,1000,"biphone","AY-AO","type",0
"CMU",2,1000,"biphone","EH-AO","type",0
"CMU",2,1000,"biphone","ER-AO","type",0
"CMU",2,1000,"biphone","EY-AO","type",0
"CMU",2,1000,"biphone","IH-AO","type",0
"CMU",2,1000,"biphone","IY-AO","type",0
"CMU",2,1000,"biphone","OW-AO","type",0
"CMU",2,1000,"biphone","OY-AO","type",0
"CMU",2,1000,"biphone","UH-AO","type",0
"CMU",2,1000,"biphone","UW-AO","type",0
"CMU",2,1000,"biphone","AX-AO","type",0
"CMU",2,1000,"biphone","AXR-AO","type",0
"CMU",2,1000,"biphone","IX-AO","type",0
"CMU",2,1000,"biphone","UX-AO","type",0
"CMU",2,1000,"biphone","B-AO","type",1
"CMU",2,1000,"biphone","CH-AO","type",1
"CMU",2,1000,"biphone","D-AO","type",2
"CMU",2,1000,"biphone","DH-AO","type",0
"CMU",2,1000,"biphone","F-AO","type",1
"CMU",2,1000,"biphone","G-AO","type",2
"CMU",2,1000,"biphone","HH-AO","type",3
"CMU",2,1000,"biphone","JH-AO","type",1
"CMU",2,1000,"biphone","K-AO","type",1
"CMU",2,1000,"biphone","L-AO","type",1
"CMU",2,1000,"biphone","M-AO","type",1
"CMU",2,1000,"biphone","N-AO","type",1
"CMU",2,1000,"biphone","NG-AO","type",0
"CMU",2,1000,"biphone","P-AO","type",2
"CMU",2,1000,"biphone","R-AO","type",2
"CMU",2,1000,"biphone","S-AO","type",1
"CMU",2,1000,"biphone","SH-AO","type",1
"CMU",2,1000,"biphone","T-AO","type",0
"CMU",2,1000,"biphone","TH-AO","type",1
"CMU",2,1000,"biphone","V-AO","type",1
"CMU",2,1000,"biphone","W-AO","type",1
"CMU",2,1000,"biphone","Y-AO","type",1
"CMU",2,1000,"biphone","Z-AO","type",0
"CMU",2,1000,"biphone","ZH-AO","type",1
"CMU",2,1000,"biphone","Q-AO","type",0
"CMU",2,1000,"biphone","AA-AW","type",0
"CMU",2,1000,"biphone","AE-AW","type",0
"CMU",2,1000,"biphone","AH-AW","type",0
"CMU",2,1000,"biphone","AO-AW","type",0
"CMU",2,1000,"biphone","AW-AW","type",0
"CMU",2,1000,"biphone","AY-AW","type",0
"CMU",2,1000,"biphone","EH-AW","type",0
"CMU",2,1000,"biphone","ER-AW","type",0
"CMU",2,1000,"biphone","EY-AW","type",0
"CMU",2,1000,"biphone","IH-AW","type",0
"CMU",2,1000,"biphone","IY-AW","type",0
"CMU",2,1000,"biphone","OW-AW","type",0
"CMU",2,1000,"biphone","OY-AW","type",0
"CMU",2,1000,"biphone","UH-AW","type",0
"CMU",2,1000,"biphone","UW-AW","type",0
"CMU",2,1000,"biphone","AX-AW","type",0
"CMU",2,1000,"biphone","AXR-AW","type",0
"CMU",2,1000,"biphone","IX-AW","type",0
"CMU",2,1000,"biphone","UX-AW","type",0
"CMU",2,1000,"biphone","B-AW","type",3
"CMU",2,1000,"biphone","CH-AW","type",3
"CMU",2,1000,"biphone","D-AW","type",4
"CMU",2,1000,"biphone","DH-AW","type",3
"CMU",2,1000,"biphone","F-AW","type",2
"CMU",2,1000,"biphone","G-AW","type",1
"CMU",2,1000,"biphone","HH-AW","type",4
"CMU",2,1000,"biphone","JH-AW","type",1
"CMU",2,1000,"biphone","K-AW","type",6
"CMU",2,1000,"biphone","L-AW","type",3
"CMU",2,1000,"biphone","M-AW","type",2
"CMU",2,1000,"biphone","N-AW","type",2
"CMU",2,1000,"biphone","NG-AW","type",0
"CMU",2,1000,"biphone","P-AW","type",4
"CMU",2,1000,"biphone","R-AW","type",2
"CMU",2,1000,"biphone","S-AW","type",3
"CMU",2,1000,"biphone","SH-AW","type",4
"CMU",2,1000,"biphone","T-AW","type",1
"CMU",2,1000,"biphone","TH-AW","type",0
"CMU",2,1000,"biphone","V-AW","type",1
"CMU",2,1000,"biphone","W-AW","type",1
"CMU",2,1000,"biphone","Y-AW","type",2
"CMU",2,1000,"biphone","Z-AW","type",0
"CMU",2,1000,"biphone","ZH-AW","type",3
"CMU",2,1000,"biphone","Q-AW","type",0
"CMU",2,1000,"biphone","AA-AY","type",0
"CMU",2,1000,"biphone","AE-AY","type",0
"CMU",2,1000,"biphone","AH-AY","type",0
"CMU",2,1000,"biphone","AO-AY","type",0
"CMU",2,1000,"biphone","AW-AY","type",0
"CMU",2,1000,"biphone","AY-AY","type",0
"CMU",2,1000,"biphone","EH-AY","type",0
"CMU",2,1000,"biphone","ER-AY","type",1
"CMU",2,1000,"biphone","EY-AY","type",1
"CMU",2,1000,"biphone","IH-AY","type",0
"CMU",2,1000,"biphone","IY-AY","type",0
"CMU",2,1000,"biphone","OW-AY","type",0
"CMU",2,1000,"biphone","OY-AY","type",0
"CMU",2,1000,"biphone","UH-AY","type",0
"CMU",2,1000,"biphone","UW-AY","type",0
"CMU",2,1000,"biphone","AX-AY","type",0
"CMU",2,1000,"biphone","AXR-AY","type",0
"CMU",2,1000,"biphone","IX-AY","type",0
"CMU",2,1000,"biphone","UX-AY","type",0
"CMU",2,1000,"biphone","B-AY","type",5
"CMU",2,1000,"biphone","CH-AY","type",2
"CMU",2,1000,"biphone","D-AY","type",4
"CMU",2,1000,"biphone","DH-AY","type",1
"CMU",2,1000,"biphone","F-AY","type",5
"CMU",2,1000,"biphone","G-AY","type",3
"CMU",2,1000,"biphone","HH-AY","type",6
"CMU",2,1000,"biphone","JH-AY","type",1
"CMU",2,1000,"biphone","K-AY","type",4
"CMU",2,1000,"biphone","L-AY","type",4
"CMU",2,1000,"biphone","M-AY","type",2
"CMU",2,1000,"biphone","N-AY","type",3
"CMU",2,1000,"biphone","NG-AY","type",0
"CMU",2,1000,"biphone","P-AY","type",4
"CMU",2,1000,"biphone","R-AY","type",3
"CMU",2,1000,"biphone","S-AY","type",7
"CMU",2,1000,"biphone","SH-AY","type",2
"CMU",2,1000,"biphone","T-AY","type",7
"CMU",2,1000,"biphone","TH-AY","type",1
"CMU",2,1000,"biphone","V-AY","type",3
"CMU",2,1000,"biphone","W-AY","type",5
"CMU",2,1000,"biphone","Y-AY","type",1
"CMU",2,1000,"biphone","Z-AY","type",0
"CMU",2,1000,"biphone","ZH-AY","type",0
"CMU",2,1000,"biphone","Q-AY","type",0
"CMU",2,1000,"biphone","AA-EH","type",0
"CMU",2,1000,"biphone","AE-EH","type",0
"CMU",2,1000,"biphone","AH-EH","type",0
"CMU",2,1000,"biphone","AO-EH","type",0
"CMU",2,1000,"biphone","AW-EH","type",0
"CMU",2,1000,"biphone","AY-EH","type",0
"CMU",2,1000,"biphone","EH-EH","type",0
"CMU",2,1000,"biphone","ER-EH","type",0
"CMU",2,1000,"biphone","EY-EH","type",0
"CMU",2,1000,"biphone","IH-EH","type",0
"CMU",2,1000,"biphone","IY-EH","type",0
"CMU",2,1000,"biphone","OW-EH","type",0
"CMU",2,1000,"biphone","OY-EH","type",0
"CMU",2,1000,"biphone","UH-EH","type",0
"CMU",2,1000,"biphone","UW-EH","type",0
"CMU",2,1000,"biphone","AX-EH","type",0
"CMU",2,1000,"biphone","AXR-EH","type",0
"CMU",2,1000,"biphone","IX-EH","type",0
"CMU",2,1000,"biphone","UX-EH","type",0
"CMU",2,1000,"biphone","B-EH","type",0
"CMU",2,1000,"biphone","CH-EH","type",0
"CMU",2,1000,"biphone","D-EH","type",0
"CMU",2,1000,"biphone","DH-EH","type",0
"CMU",2,1000,"biphone","F-EH","type",0
"CMU",2,1000,"biphone","G-EH","type",0
"CMU",2,1000,"biphone","HH-EH","type",1
"CMU",2,1000,"biphone","JH-EH","type",0
"CMU",2,1000,"biphone","K-EH","type",1
"CMU",2,1000,"biphone","L-EH","type",1
"CMU",2,1000,"biphone","M-EH","type",0
"CMU",2,1000,"biphone","N-EH","type",0
"CMU",2,1000,"biphone","NG-EH","type",0
"CMU",2,1000,"biphone","P-EH","type",0
"CMU",2,1000,"biphone","R-EH","type",1
"CMU",2,1000,"biphone","S-EH","type",0
"CMU",2,1000,"biphone","SH-EH","type",0
"CMU",2,1000,"biphone","T-EH","type",0
"CMU",2,1000,"biphone","TH-EH","type",0
"CMU",2,1000,"biphone","V-EH","type",0
