"corpus","sequence_length","n_sequences","ngram","phoneme","method","pos1","pos2","pos3","pos4","pos5","pos6","pos7","pos8","pos9","pos10","pos11","pos12"
"CMU",2,1000,"phoneme","UH","type",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","UW","type",8,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","AX","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","AXR","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","IX","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","UX","type",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","B","type",37,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","CH","type",19,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","D","type",43,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","DH","type",12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","F","type",29,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","G","type",23,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","HH","type",37,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","JH","type",27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","K","type",54,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","L","type",42,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","M","type",28,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","N","type",32,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","NG","type",0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","P","type",32,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","R","type",46,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",2,1000,"phoneme","S","type",41,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
